prefLabel,altLabels,displayName,uri,confidence
palladium,Pd (symbol),palladium (Pd (symbol)),http://aims.fao.org/aos/agrovoc/c_549615fb,0.86
rhenium,Re (symbol),rhenium (Re (symbol)),http://aims.fao.org/aos/agrovoc/c_bb2168e4,0.86
rhodium,Rh (symbol),rhodium (Rh (symbol)),http://aims.fao.org/aos/agrovoc/c_ea2af13b,0.86
ruthenium,Ru (symbol),ruthenium (Ru (symbol)),http://aims.fao.org/aos/agrovoc/c_87cd9fbc,0.86
tantalum,Ta (symbol),tantalum (Ta (symbol)),http://aims.fao.org/aos/agrovoc/c_49eb4388,0.86
organocopper compounds,,organocopper compounds,http://aims.fao.org/aos/agrovoc/c_5396,0.86
sampling,,sampling,http://aims.fao.org/aos/agrovoc/c_6774,0.85
water pollution,aquatic pollution,water pollution (aquatic pollution),http://aims.fao.org/aos/agrovoc/c_8321,0.85
classification,systematization,classification (systematization),http://aims.fao.org/aos/agrovoc/c_1653,0.85
application methods,,application methods,http://aims.fao.org/aos/agrovoc/c_542,0.85
planker,,planker,http://aims.fao.org/aos/agrovoc/c_330850,0.85
rakes,,rakes,http://aims.fao.org/aos/agrovoc/c_6441,0.85
rollers,,rollers,http://aims.fao.org/aos/agrovoc/c_6636,0.85
Calopogonium mucunoides,calopo,Calopogonium mucunoides (calopo),http://aims.fao.org/aos/agrovoc/c_1217,0.85
Coronilla,,Coronilla,http://aims.fao.org/aos/agrovoc/c_1903,0.85
Ornithopus,,Ornithopus,http://aims.fao.org/aos/agrovoc/c_5423,0.85
volcanic areas,,volcanic areas,http://aims.fao.org/aos/agrovoc/c_8286,0.85
foliar application,,foliar application,http://aims.fao.org/aos/agrovoc/c_3008,0.85
insect control,insect pests management,insect control (insect pests management),http://aims.fao.org/aos/agrovoc/c_3885,0.85
pyrolysis,,pyrolysis,http://aims.fao.org/aos/agrovoc/c_26874,0.85
ditch cleaning,,ditch cleaning,http://aims.fao.org/aos/agrovoc/c_25739,0.85
bioherms,,bioherms,http://aims.fao.org/aos/agrovoc/c_085bb3b7,0.85
transfer of waters,water transfer (management),transfer of waters (water transfer (management)),http://aims.fao.org/aos/agrovoc/c_32625,0.85
water yield,,water yield,http://aims.fao.org/aos/agrovoc/c_26835,0.85
water density,density (water),water density (density (water)),http://aims.fao.org/aos/agrovoc/c_5bab82a8,0.85
Clostridium tetani,,Clostridium tetani,http://aims.fao.org/aos/agrovoc/c_21494,0.85
pollution,immission; environmental pollution; environmental contamination,"pollution (immission, environmental pollution, environmental contamination)",http://aims.fao.org/aos/agrovoc/c_6077,0.85
Papilionoideae,Faboideae; Lotoideae; Viceaceae; Papilionaceae,"Papilionoideae (Faboideae, Lotoideae, Viceaceae, Papilionaceae)",http://aims.fao.org/aos/agrovoc/c_5552,0.85
arable land,,arable land,http://aims.fao.org/aos/agrovoc/c_18948,0.85
crown gall of grapevine,grapevine crown gall,crown gall of grapevine (grapevine crown gall),http://aims.fao.org/aos/agrovoc/c_35757e6d,0.85
sodium sulphite,sodium sulfite,sodium sulphite (sodium sulfite),http://aims.fao.org/aos/agrovoc/c_26826,0.85
coal by-products,,coal by-products,http://aims.fao.org/aos/agrovoc/c_1694,0.84
accretion,aggradation,accretion (aggradation),http://aims.fao.org/aos/agrovoc/c_99f18324,0.84
Tripsacum laxum,Tripsacum fasciculatum; Guatemala grass,"Tripsacum laxum (Tripsacum fasciculatum, Guatemala grass)",http://aims.fao.org/aos/agrovoc/c_7942,0.84
continuous irrigation,,continuous irrigation,http://aims.fao.org/aos/agrovoc/c_25353,0.84
demand irrigation,intermittent irrigation,demand irrigation (intermittent irrigation),http://aims.fao.org/aos/agrovoc/c_25352,0.84
yield response factor,,yield response factor,http://aims.fao.org/aos/agrovoc/c_feaa7d27,0.84
farming systems,agricultural systems; types of farming; farming,"farming systems (agricultural systems, types of farming, farming)",http://aims.fao.org/aos/agrovoc/c_2807,0.84
planting,,planting,http://aims.fao.org/aos/agrovoc/c_5992,0.84
carbon tetrachloride,,carbon tetrachloride,http://aims.fao.org/aos/agrovoc/c_1304,0.84
cultivated land,,cultivated land,http://aims.fao.org/aos/agrovoc/c_16212,0.84
feed crops,fodder crops; forage crops; pasture plants; animal feed crops,"feed crops (fodder crops, forage crops, pasture plants, animal feed crops)",http://aims.fao.org/aos/agrovoc/c_2829,0.84
wood preservatives,timber preservatives,wood preservatives (timber preservatives),http://aims.fao.org/aos/agrovoc/c_8429,0.84
silver,Ag (symbol),silver (Ag (symbol)),http://aims.fao.org/aos/agrovoc/c_7068,0.84
farmer-led irrigation,,farmer-led irrigation,http://aims.fao.org/aos/agrovoc/c_283b0d13,0.83
grazing intensity,grazing capacity; grazing pressure,"grazing intensity (grazing capacity, grazing pressure)",http://aims.fao.org/aos/agrovoc/c_3368,0.83
gas turbation,,gas turbation,http://aims.fao.org/aos/agrovoc/c_b09277cb,0.83
Zygomycotina,Fungi inferior (Phycomycetes); Phycomycetes,"Zygomycotina (Fungi inferior (Phycomycetes), Phycomycetes)",http://aims.fao.org/aos/agrovoc/c_31636,0.83
refractive index,,refractive index,http://aims.fao.org/aos/agrovoc/c_28412,0.83
sulphide deposits,polymetallic sulphide deposits; sulfide deposits,"sulphide deposits (polymetallic sulphide deposits, sulfide deposits)",http://aims.fao.org/aos/agrovoc/c_ea7e181e,0.83
rangelands,,rangelands,http://aims.fao.org/aos/agrovoc/c_6448,0.83
phytoalexins,phytoncides,phytoalexins (phytoncides),http://aims.fao.org/aos/agrovoc/c_16109,0.83
semimetals,metalloids,semimetals (metalloids),http://aims.fao.org/aos/agrovoc/c_6969,0.83
mineral fibres,,mineral fibres,http://aims.fao.org/aos/agrovoc/c_15905,0.82
analytical methods,analytical techniques,analytical methods (analytical techniques),http://aims.fao.org/aos/agrovoc/c_1513,0.82
chemicophysical properties,physicochemical properties; product characters; chemical properties; physical properties,"chemicophysical properties (physicochemical properties, product characters, chemical properties, physical properties)",http://aims.fao.org/aos/agrovoc/c_1521,0.82
nutritional status,nutritional state; nutrient status,"nutritional status (nutritional state, nutrient status)",http://aims.fao.org/aos/agrovoc/c_24877,0.82
