prefLabel,altLabels,displayName,uri,baseline_origin
soil transport processes,mass transfer in soil; solute movement in soil; solute transport in soil,"soil transport processes (mass transfer in soil, solute movement in soil, solute transport in soil)",http://aims.fao.org/aos/agrovoc/c_7202,DIRECT_LABEL_MATCH
soil treatment,,soil treatment,http://aims.fao.org/aos/agrovoc/c_7203,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil types,,soil types,http://aims.fao.org/aos/agrovoc/c_7204,DIRECT_LABEL_MATCH
soil water,,soil water,http://aims.fao.org/aos/agrovoc/c_7205,DIRECT_LABEL_MATCH
soil water balance,,soil water balance,http://aims.fao.org/aos/agrovoc/c_7206,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil water characteristics,,soil water characteristics,http://aims.fao.org/aos/agrovoc/c_330770,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil water constants,,soil water constants,http://aims.fao.org/aos/agrovoc/c_32444,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil water content,soil moisture,soil water content (soil moisture),http://aims.fao.org/aos/agrovoc/c_7208,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil water movement,soil water percolation; water transfer (in soil),"soil water movement (soil water percolation, water transfer (in soil))",http://aims.fao.org/aos/agrovoc/c_7209,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil water potential,suction pressure (soil),soil water potential (suction pressure (soil)),http://aims.fao.org/aos/agrovoc/c_7210,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil water regimes,,soil water regimes,http://aims.fao.org/aos/agrovoc/c_7211,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil water repellency,,soil water repellency,http://aims.fao.org/aos/agrovoc/c_ad6278b9,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil water retention,,soil water retention,http://aims.fao.org/aos/agrovoc/c_7212,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil zonation,soil zonality; soil zones,"soil zonation (soil zonality, soil zones)",http://aims.fao.org/aos/agrovoc/c_7213,DIRECT_LABEL_MATCH
soil-borne fungi,,soil-borne fungi,http://aims.fao.org/aos/agrovoc/c_34904,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil-borne organisms,,soil-borne organisms,http://aims.fao.org/aos/agrovoc/c_24902,DIRECT_LABEL_MATCH
soil-borne viruses,,soil-borne viruses,http://aims.fao.org/aos/agrovoc/c_36398,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil-borne wheat mosaic virus,,soil-borne wheat mosaic virus,http://aims.fao.org/aos/agrovoc/c_3796b28f,DIRECT_LABEL_MATCH
soilless culture,,soilless culture,http://aims.fao.org/aos/agrovoc/c_14407,DIRECT_LABEL_MATCH
soil–plant–atmosphere continuum,,soil–plant–atmosphere continuum,http://aims.fao.org/aos/agrovoc/c_aeebe08e,DIRECT_LABEL_MATCH
solifluction,,solifluction,http://aims.fao.org/aos/agrovoc/c_14420,NARROWER_DESCENDANT
Solonchaks,,Solonchaks,http://aims.fao.org/aos/agrovoc/c_7231,NARROWER_DESCENDANT
Solonetz,,Solonetz,http://aims.fao.org/aos/agrovoc/c_7232,NARROWER_DESCENDANT
SPAD units,SPAD values; soil plant analysis development units; soil plant analysis development values,"SPAD units (SPAD values, soil plant analysis development units, soil plant analysis development values)",http://aims.fao.org/aos/agrovoc/c_9c738133,DIRECT_LABEL_MATCH
splash erosion,,splash erosion,http://aims.fao.org/aos/agrovoc/c_95539e7b,NARROWER_DESCENDANT
spodic horizons,,spodic horizons,http://aims.fao.org/aos/agrovoc/c_6843b260,NARROWER_DESCENDANT
spodosols,,spodosols,http://aims.fao.org/aos/agrovoc/c_36874,NARROWER_DESCENDANT
Stagnosols,,Stagnosols,http://aims.fao.org/aos/agrovoc/c_d9028da2,NARROWER_DESCENDANT
stone clearing,,stone clearing,http://aims.fao.org/aos/agrovoc/c_25433,NARROWER_DESCENDANT
stony soils,,stony soils,http://aims.fao.org/aos/agrovoc/c_7425,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
stratigraphic soil types,,stratigraphic soil types,http://aims.fao.org/aos/agrovoc/c_7439,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
straw mulches,,straw mulches,http://aims.fao.org/aos/agrovoc/c_7442,NARROWER_DESCENDANT
stream erosion,,stream erosion,http://aims.fao.org/aos/agrovoc/c_1d93d7d6,NARROWER_DESCENDANT
streambank erosion,bank erosion; river bank erosion,"streambank erosion (bank erosion, river bank erosion)",http://aims.fao.org/aos/agrovoc/c_2bd4427d,NARROWER_DESCENDANT
streambed erosion,riverbed erosion,streambed erosion (riverbed erosion),http://aims.fao.org/aos/agrovoc/c_82852448,NARROWER_DESCENDANT
strip tillage,strip till; strip-till; strip-tillage,"strip tillage (strip till, strip-till, strip-tillage)",http://aims.fao.org/aos/agrovoc/c_1516cbf3,NARROWER_DESCENDANT
structural soil types,,structural soil types,http://aims.fao.org/aos/agrovoc/c_7466,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
stubble ploughs,,stubble ploughs,http://aims.fao.org/aos/agrovoc/c_25696,NARROWER_DESCENDANT
stubble tillage,mulch tillage; stubble mulch tillage; stubble-mulch tillage,"stubble tillage (mulch tillage, stubble mulch tillage, stubble-mulch tillage)",http://aims.fao.org/aos/agrovoc/c_b219433a,NARROWER_DESCENDANT
subsidence,land subsidence,subsidence (land subsidence),http://aims.fao.org/aos/agrovoc/c_14650,NARROWER_DESCENDANT
subsoil,,subsoil,http://aims.fao.org/aos/agrovoc/c_7486,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
subsoilers,sub soilers,subsoilers (sub soilers),http://aims.fao.org/aos/agrovoc/c_25808,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
subsoiling,,subsoiling,http://aims.fao.org/aos/agrovoc/c_15593,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
subsurface drainage,,subsurface drainage,http://aims.fao.org/aos/agrovoc/c_25349,NARROWER_DESCENDANT
subtropical soils,,subtropical soils,http://aims.fao.org/aos/agrovoc/c_14657,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
surface cultivation,surface tillage,surface cultivation (surface tillage),http://aims.fao.org/aos/agrovoc/c_25725,NARROWER_DESCENDANT
surface drainage,,surface drainage,http://aims.fao.org/aos/agrovoc/c_25594,NARROWER_DESCENDANT
swamp soils,,swamp soils,http://aims.fao.org/aos/agrovoc/c_7543,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
swing ploughs,,swing ploughs,http://aims.fao.org/aos/agrovoc/c_25676,NARROWER_DESCENDANT
tandem disc harrows,,tandem disc harrows,http://aims.fao.org/aos/agrovoc/c_b95256aa,NARROWER_DESCENDANT
Technosols,,Technosols,http://aims.fao.org/aos/agrovoc/c_3a0750ba,NARROWER_DESCENDANT
textural soil types,,textural soil types,http://aims.fao.org/aos/agrovoc/c_7698,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
thermal erosion,,thermal erosion,http://aims.fao.org/aos/agrovoc/c_45d5dd17,NARROWER_DESCENDANT
tidal scour,current scouring,tidal scour (current scouring),http://aims.fao.org/aos/agrovoc/c_6ef8d296,NARROWER_DESCENDANT
tile drainage,,tile drainage,http://aims.fao.org/aos/agrovoc/c_25598,NARROWER_DESCENDANT
tillage,soil cultivation; tilling,"tillage (soil cultivation, tilling)",http://aims.fao.org/aos/agrovoc/c_7771,DIRECT_LABEL_MATCH
tillage equipment,soil loosening equipment; soil preparation equipment,"tillage equipment (soil loosening equipment, soil preparation equipment)",http://aims.fao.org/aos/agrovoc/c_25768,DIRECT_LABEL_MATCH
tillage erosion,,tillage erosion,http://aims.fao.org/aos/agrovoc/c_924f2195,NARROWER_DESCENDANT
tine harrows,,tine harrows,http://aims.fao.org/aos/agrovoc/c_e7505488,NARROWER_DESCENDANT
topsoil,top soil,topsoil (top soil),http://aims.fao.org/aos/agrovoc/c_7812,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
total carbon,TC,total carbon (TC),http://aims.fao.org/aos/agrovoc/c_24fb4269,NARROWER_DESCENDANT
total inorganic carbon,TIC,total inorganic carbon (TIC),http://aims.fao.org/aos/agrovoc/c_e3783c76,NARROWER_DESCENDANT
total nitrogen,TN,total nitrogen (TN),http://aims.fao.org/aos/agrovoc/c_bdc779f4,NARROWER_DESCENDANT
total phosphorus,TP,total phosphorus (TP),http://aims.fao.org/aos/agrovoc/c_ac4b3c22,NARROWER_DESCENDANT
tropical soils,,tropical soils,http://aims.fao.org/aos/agrovoc/c_7978,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Umbrisols,,Umbrisols,http://aims.fao.org/aos/agrovoc/c_9e95a849,NARROWER_DESCENDANT
underdrainage,,underdrainage,http://aims.fao.org/aos/agrovoc/c_25600,NARROWER_DESCENDANT
Universal Soil Loss Equation,USLE (Universal Soil Loss Equation),Universal Soil Loss Equation (USLE (Universal Soil Loss Equation)),http://aims.fao.org/aos/agrovoc/c_32619,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
upland soils,,upland soils,http://aims.fao.org/aos/agrovoc/c_8077,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
Vertisols,,Vertisols,http://aims.fao.org/aos/agrovoc/c_8199,NARROWER_DESCENDANT
virgin soils,,virgin soils,http://aims.fao.org/aos/agrovoc/c_35348,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
volcanic soils,pumice soils; volcanic ash soils,"volcanic soils (pumice soils, volcanic ash soils)",http://aims.fao.org/aos/agrovoc/c_8287,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
volumetric water content,volumetric soil water content,volumetric water content (volumetric soil water content),http://aims.fao.org/aos/agrovoc/c_4b440f7a,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
water erosion,rain erosion,water erosion (rain erosion),http://aims.fao.org/aos/agrovoc/c_8318,NARROWER_DESCENDANT
water filtration (soil),water filtering (soil),water filtration (soil) (water filtering (soil)),http://aims.fao.org/aos/agrovoc/c_25b98c3e,DIRECT_LABEL_MATCH
water repellent soils,,water repellent soils,http://aims.fao.org/aos/agrovoc/c_8edcdbc5,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
water tolerance,submergence tolerance; tolerance to wet soils; waterlogging resistance; waterlogging tolerance,"water tolerance (submergence tolerance, tolerance to wet soils, waterlogging resistance, waterlogging tolerance)",http://aims.fao.org/aos/agrovoc/c_16151,DIRECT_LABEL_MATCH
waterlogging,hydromorphism; hydromorphology; hydromorphy; water logging; waterlogged soils,"waterlogging (hydromorphism, hydromorphology, hydromorphy, water logging, waterlogged soils)",http://aims.fao.org/aos/agrovoc/c_8333,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
wave scouring,,wave scouring,http://aims.fao.org/aos/agrovoc/c_1d083fca,NARROWER_DESCENDANT
wetland soils,,wetland soils,http://aims.fao.org/aos/agrovoc/c_8370,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
wilting point,,wilting point,http://aims.fao.org/aos/agrovoc/c_32626,NARROWER_DESCENDANT
wind abrasion,corrasion,wind abrasion (corrasion),http://aims.fao.org/aos/agrovoc/c_00f11054,NARROWER_DESCENDANT
wind erosion,,wind erosion,http://aims.fao.org/aos/agrovoc/c_8393,NARROWER_DESCENDANT
wood chips mulches,,wood chips mulches,http://aims.fao.org/aos/agrovoc/c_b6875485,NARROWER_DESCENDANT
World Reference Base soil types,WRB soil types; World Reference Base for Soil Resources groups,"World Reference Base soil types (WRB soil types, World Reference Base for Soil Resources groups)",http://aims.fao.org/aos/agrovoc/c_89f35c33,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
xeric soils,mediterranean soils,xeric soils (mediterranean soils),http://aims.fao.org/aos/agrovoc/c_8462,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
xerosols,,xerosols,http://aims.fao.org/aos/agrovoc/c_8463,NARROWER_DESCENDANT
yermosols,,yermosols,http://aims.fao.org/aos/agrovoc/c_8484,NARROWER_DESCENDANT
zero tillage,no tillage,zero tillage (no tillage),http://aims.fao.org/aos/agrovoc/c_8511,NARROWER_DESCENDANT
zero-grazing,soilage (feeding system); zero grazing,"zero-grazing (soilage (feeding system), zero grazing)",http://aims.fao.org/aos/agrovoc/c_19085,DIRECT_LABEL_MATCH
