prefLabel,altLabels,displayName,uri,baseline_origin
rill erosion,,rill erosion,http://aims.fao.org/aos/agrovoc/c_27001,NARROWER_DESCENDANT
ripping (tillage),,ripping (tillage),http://aims.fao.org/aos/agrovoc/c_36248,NARROWER_DESCENDANT
river terrace soils,,river terrace soils,http://aims.fao.org/aos/agrovoc/c_6616,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
roadside soils,,roadside soils,http://aims.fao.org/aos/agrovoc/c_6622,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
rollers,,rollers,http://aims.fao.org/aos/agrovoc/c_6636,NARROWER_DESCENDANT
rotary cultivation,rotary tillage,rotary cultivation (rotary tillage),http://aims.fao.org/aos/agrovoc/c_24233,NARROWER_DESCENDANT
rotary cultivators,power tillers,rotary cultivators (power tillers),http://aims.fao.org/aos/agrovoc/c_24077,NARROWER_DESCENDANT
rotary diggers,,rotary diggers,http://aims.fao.org/aos/agrovoc/c_25693,NARROWER_DESCENDANT
rotary hoes,,rotary hoes,http://aims.fao.org/aos/agrovoc/c_8f953631,NARROWER_DESCENDANT
rotary tillers,rotary harrows; rotavator,"rotary tillers (rotary harrows, rotavator)",http://aims.fao.org/aos/agrovoc/c_330875,NARROWER_DESCENDANT
saline and sodic soil resistance,,saline and sodic soil resistance,http://aims.fao.org/aos/agrovoc/c_330809,DIRECT_LABEL_MATCH
saline sodic soils,saline alkali soils; saline-sodic soils,"saline sodic soils (saline alkali soils, saline-sodic soils)",http://aims.fao.org/aos/agrovoc/c_6750,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
saline soils,,saline soils,http://aims.fao.org/aos/agrovoc/c_6748,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
salinity control,soil desalination; soil desalinization; soil desalting,"salinity control (soil desalination, soil desalinization, soil desalting)",http://aims.fao.org/aos/agrovoc/c_32681,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
sandy soils,light soils,sandy soils (light soils),http://aims.fao.org/aos/agrovoc/c_6781,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
scarifiers,,scarifiers,http://aims.fao.org/aos/agrovoc/c_26150,NARROWER_DESCENDANT
schist soils,,schist soils,http://aims.fao.org/aos/agrovoc/c_6845,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
scouring,hydrodynamic scour,scouring (hydrodynamic scour),http://aims.fao.org/aos/agrovoc/c_aa2f353f,NARROWER_DESCENDANT
scrubland soils,,scrubland soils,http://aims.fao.org/aos/agrovoc/c_6886,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
secondary tillage,,secondary tillage,http://aims.fao.org/aos/agrovoc/c_330784,NARROWER_DESCENDANT
seedbed preparation,,seedbed preparation,http://aims.fao.org/aos/agrovoc/c_6943,NARROWER_DESCENDANT
semi-arid soils,semiarid soils,semi-arid soils (semiarid soils),http://aims.fao.org/aos/agrovoc/c_14192,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
sentinel animals,,sentinel animals,http://aims.fao.org/aos/agrovoc/c_6e232fee,NARROWER_DESCENDANT
sentinel plants,,sentinel plants,http://aims.fao.org/aos/agrovoc/c_fbb9ce0c,NARROWER_DESCENDANT
serpentine soils,,serpentine soils,http://aims.fao.org/aos/agrovoc/c_6986,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
shale soils,,shale soils,http://aims.fao.org/aos/agrovoc/c_7021,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
sheet erosion,,sheet erosion,http://aims.fao.org/aos/agrovoc/c_548566f4,NARROWER_DESCENDANT
silty soils,,silty soils,http://aims.fao.org/aos/agrovoc/c_7066,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
site preparation,,site preparation,http://aims.fao.org/aos/agrovoc/c_32545,NARROWER_DESCENDANT
slipping of soil,,slipping of soil,http://aims.fao.org/aos/agrovoc/c_14336,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
sodic soils,alkali soils,sodic soils (alkali soils),http://aims.fao.org/aos/agrovoc/c_7144,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil,,soil,http://aims.fao.org/aos/agrovoc/c_7156,DIRECT_LABEL_MATCH
soil accumulation,,soil accumulation,http://aims.fao.org/aos/agrovoc/c_6b424f29,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil acidification,,soil acidification,http://aims.fao.org/aos/agrovoc/c_a97faca7,DIRECT_LABEL_MATCH
soil air,earth atmosphere; soil atmosphere,"soil air (earth atmosphere, soil atmosphere)",http://aims.fao.org/aos/agrovoc/c_7158,DIRECT_LABEL_MATCH
soil algae,,soil algae,http://aims.fao.org/aos/agrovoc/c_e7a071ee,DIRECT_LABEL_MATCH
soil amendments,,soil amendments,http://aims.fao.org/aos/agrovoc/c_7159,DIRECT_LABEL_MATCH
soil analysis,soil testing,soil analysis (soil testing),http://aims.fao.org/aos/agrovoc/c_7198,DIRECT_LABEL_MATCH
soil anthropogenic changes,soil anthropogenic measures,soil anthropogenic changes (soil anthropogenic measures),http://aims.fao.org/aos/agrovoc/c_8b0b0337,DIRECT_LABEL_MATCH
soil bacteria,,soil bacteria,http://aims.fao.org/aos/agrovoc/c_34c44dd1,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
