identifier,label,uri,class
https://soilwise-he.github.io/soil-health#LandProductivity,land productivity,http://aims.fao.org/aos/agrovoc/c_4176,
https://soilwise-he.github.io/soil-health#SewageSludge,sewage sludge,http://aims.fao.org/aos/agrovoc/c_7008,soil management
https://soilwise-he.github.io/soil-health#Antibiotics,antibiotics,http://aims.fao.org/aos/agrovoc/c_492,soil threats
https://soilwise-he.github.io/soil-health#WaterPurification,water purification,http://aims.fao.org/aos/agrovoc/c_34145,soil functions
https://soilwise-he.github.io/soil-health#SoilCover,soil cover,http://opendata.inrae.fr/thesaurusINRAE/c_470,
https://soilwise-he.github.io/soil-health#WindErosionRate,wind erosion rate,,soil threats
https://soilwise-he.github.io/soil-health#RegulatingServices,regulating services,http://aims.fao.org/aos/agrovoc/c_eff3625d,ecosystem services
https://soilwise-he.github.io/soil-health#DegradedSoils,degraded soils,,soil threats
https://soilwise-he.github.io/soil-health#Digestate,digestate,http://aims.fao.org/aos/agrovoc/c_4af94ce2,soil management
https://soilwise-he.github.io/soil-health#BiologicalProductivity,biological productivity,,
https://soilwise-he.github.io/soil-health#SoilSealing,soil sealing,http://aims.fao.org/aos/agrovoc/c_f9554e7c,soil threats
https://soilwise-he.github.io/soil-health#SoilTemperatureFluctuations,soil temperature fluctuations,,soil physical properties
https://soilwise-he.github.io/soil-health#SoilCarbonStocks,soil carbon stocks,,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilRehabilitation,soil rehabilitation,https://data.geoscience.earth/ncl/ISO11074v2025/3.469,soil management
https://soilwise-he.github.io/soil-health#AnimalHealth,animal health,http://aims.fao.org/aos/agrovoc/c_431,
https://soilwise-he.github.io/soil-health#BiochemicalProcesses,biochemical processes,http://aims.fao.org/aos/agrovoc/c_331094,soil processes
https://soilwise-he.github.io/soil-health#HumanHealth,human health,http://aims.fao.org/aos/agrovoc/c_c722a312,
https://soilwise-he.github.io/soil-health#TerrestrialLayer,terrestrial layer,,
https://soilwise-he.github.io/soil-health#SoilExcavation,soil excavation,,soil threats
https://soilwise-he.github.io/soil-health#SoilPhysicalDegradation,soil physical degradation,,soil threats
https://soilwise-he.github.io/soil-health#Entisols,entisols,http://aims.fao.org/aos/agrovoc/c_b10d627e,soil classification
https://soilwise-he.github.io/soil-health#SoilFunctioning,soil functioning,,soil processes
https://soilwise-he.github.io/soil-health#SoilParameters,soil parameters,,
https://soilwise-he.github.io/soil-health#ClimateResilience,climate resilience,http://aims.fao.org/aos/agrovoc/c_8a6031d8,soil functions
https://soilwise-he.github.io/soil-health#AnimalManure,animal manure,http://www.eionet.europa.eu/gemet/concept/432,soil management
https://soilwise-he.github.io/soil-health#SurfaceRunoff,surface run-off,,
https://soilwise-he.github.io/soil-health#Manganese,manganese,http://aims.fao.org/aos/agrovoc/c_4570,soil chemical properties
https://soilwise-he.github.io/soil-health#SpeciesDiversity,species diversity,http://aims.fao.org/aos/agrovoc/c_00ba8c53,soil functions
https://soilwise-he.github.io/soil-health#CropYields,crop yields,,soil functions
https://soilwise-he.github.io/soil-health#SoilAcidification,soil acidification,http://opendata.inrae.fr/thesaurusINRAE/c_900,soil threats
https://soilwise-he.github.io/soil-health#AcidPrecipitation,acidic precipitation,,soil threats
https://soilwise-he.github.io/soil-health#SandySoils,sandy soils,http://aims.fao.org/aos/agrovoc/c_6781,soil classification
https://soilwise-he.github.io/soil-health#FibreProduction,fibre production,,
https://soilwise-he.github.io/soil-health#Necromass,necromass,,soil biological properties
https://soilwise-he.github.io/soil-health#Liming,liming,http://aims.fao.org/aos/agrovoc/c_25206,soil management
https://soilwise-he.github.io/soil-health#Waterlogging,waterlogging,http://aims.fao.org/aos/agrovoc/c_8333,soil threats
https://soilwise-he.github.io/soil-health#CropResidueInput,crop residue input,,soil management
https://soilwise-he.github.io/soil-health#PlantNutrients,plant nutrients,,soil functions
https://soilwise-he.github.io/soil-health#Macronutrients,macronutrients,http://aims.fao.org/aos/agrovoc/c_5dbd59ad,soil functions
https://soilwise-he.github.io/soil-health#Sulphur,sulphur,http://aims.fao.org/aos/agrovoc/c_7514,soil chemical properties
https://soilwise-he.github.io/soil-health#Subsoil,subsoil,http://aims.fao.org/aos/agrovoc/c_7486,
https://soilwise-he.github.io/soil-health#Boron,boron,http://aims.fao.org/aos/agrovoc/c_1018,soil chemical properties
https://soilwise-he.github.io/soil-health#LandCoverChange,land cover change,http://aims.fao.org/aos/agrovoc/c_9000093,soil functions
https://soilwise-he.github.io/soil-health#Copper,copper,http://aims.fao.org/aos/agrovoc/c_1868,soil chemical properties
https://soilwise-he.github.io/soil-health#CriticalConcentrations,critical concentrations,,
https://soilwise-he.github.io/soil-health#HydraulicConductivity,hydraulic conductivity,http://aims.fao.org/aos/agrovoc/c_25579,soil physical properties
https://soilwise-he.github.io/soil-health#CompactionSusceptibility,compaction susceptibility,,soil physical properties
https://soilwise-he.github.io/soil-health#NaturalSoils,natural soils,,soil classification
https://soilwise-he.github.io/soil-health#SoilAnimalDiversity,soil animal diversity,,soil biological properties
https://soilwise-he.github.io/soil-health#Iron,iron,http://aims.fao.org/aos/agrovoc/c_3950,soil chemical properties
https://soilwise-he.github.io/soil-health#SOCLosses,soil organic carbon losses,,soil threats
https://soilwise-he.github.io/soil-health#NutrientTurnover,nutrient turnover,,soil biological properties
https://soilwise-he.github.io/soil-health#RainwaterInfiltration,rainwater infiltration,,soil physical properties
https://soilwise-he.github.io/soil-health#AgriculturalSoils,agricultural soils,http://aims.fao.org/aos/agrovoc/c_33934,soil classification
https://soilwise-he.github.io/soil-health#SoilCrusting,soil crusting,,
https://soilwise-he.github.io/soil-health#Urea,urea,http://aims.fao.org/aos/agrovoc/c_8090,soil chemical properties
https://soilwise-he.github.io/soil-health#SoilCompaction,soil compaction,http://aims.fao.org/aos/agrovoc/c_7163,soil threats
https://soilwise-he.github.io/soil-health#Molybdenum,molybdenum,http://aims.fao.org/aos/agrovoc/c_4901,soil chemical properties
https://soilwise-he.github.io/soil-health#NitricAcid,nitric acid,http://aims.fao.org/aos/agrovoc/c_5188,soil chemical properties
https://soilwise-he.github.io/soil-health#Disturbance,disturbance,http://aims.fao.org/aos/agrovoc/c_cbe171b4,soil threats
https://soilwise-he.github.io/soil-health#FunctionalGroups,functional groups,,
https://soilwise-he.github.io/soil-health#Ammonia,ammonia,http://aims.fao.org/aos/agrovoc/c_349,soil chemical properties
https://soilwise-he.github.io/soil-health#AmmoniumBasedFertilizers,ammonium-based fertilisers,,soil management
https://soilwise-he.github.io/soil-health#Drainage,drainage,http://aims.fao.org/aos/agrovoc/c_2372,soil physical properties
https://soilwise-he.github.io/soil-health#SoilConditions,soil conditions,,
https://soilwise-he.github.io/soil-health#TillageErosion,tillage erosion,http://aims.fao.org/aos/agrovoc/c_924f2195,soil threats
https://soilwise-he.github.io/soil-health#BaseCations,base cations,,soil chemical properties
https://soilwise-he.github.io/soil-health#BiomassProduction,biomass production,http://aims.fao.org/aos/agrovoc/c_adfffd29,soil biological properties
https://soilwise-he.github.io/soil-health#Cadmium,cadmium,http://aims.fao.org/aos/agrovoc/c_1178,soil chemical properties
https://soilwise-he.github.io/soil-health#NitrousOxide,nitrous oxide,http://aims.fao.org/aos/agrovoc/c_12838,soil chemical properties
https://soilwise-he.github.io/soil-health#AmmoniumNitrogen,ammonium nitrogen,http://aims.fao.org/aos/agrovoc/c_37457,soil chemical properties
https://soilwise-he.github.io/soil-health#Potassium,potassium,http://aims.fao.org/aos/agrovoc/c_6139,soil chemical properties
https://soilwise-he.github.io/soil-health#RegionalConditions,regional conditions,,
https://soilwise-he.github.io/soil-health#Sedimentation,sedimentation,http://aims.fao.org/aos/agrovoc/c_6926,soil processes
https://soilwise-he.github.io/soil-health#AbioticEnvironment,abiotic environment,http://www.eionet.europa.eu/gemet/concept/10193,
https://soilwise-he.github.io/soil-health#EnvironmentalCompartments,environmental compartments,,soil biological properties
https://soilwise-he.github.io/soil-health#Magnesium,magnesium,http://aims.fao.org/aos/agrovoc/c_4517,soil chemical properties
https://soilwise-he.github.io/soil-health#Aluminium,aluminium,http://aims.fao.org/aos/agrovoc/c_317,soil chemical properties
https://soilwise-he.github.io/soil-health#ForestSoils,forest soils,http://aims.fao.org/aos/agrovoc/c_3051,soil classification
https://soilwise-he.github.io/soil-health#Contaminants,contaminants,http://aims.fao.org/aos/agrovoc/c_4ba65a4a,soil threats
https://soilwise-he.github.io/soil-health#Microbiome,microbiome,http://opendata.inrae.fr/thesaurusINRAE/c_7751,soil biological properties
https://soilwise-he.github.io/soil-health#Zinc,zinc,http://aims.fao.org/aos/agrovoc/c_8517,soil chemical properties
https://soilwise-he.github.io/soil-health#Nitrate,nitrate,http://opendata.inrae.fr/thesaurusINRAE/c_15698,soil chemical properties
https://soilwise-he.github.io/soil-health#EcosystemFunctioning,ecosystem functioning,http://opendata.inrae.fr/thesaurusINRAE/c_8630,ecosystem services
https://soilwise-he.github.io/soil-health#Methane,methane,http://aims.fao.org/aos/agrovoc/c_4784,soil chemical properties
https://soilwise-he.github.io/soil-health#Infrastructure,infrastructure,http://aims.fao.org/aos/agrovoc/c_26790,
https://soilwise-he.github.io/soil-health#Rooting,rooting,http://aims.fao.org/aos/agrovoc/c_6649,soil biological properties
https://soilwise-he.github.io/soil-health#SoilOrganisms,soil organisms,http://aims.fao.org/aos/agrovoc/c_33552,soil biological properties
https://soilwise-he.github.io/soil-health#Calcium,calcium,http://aims.fao.org/aos/agrovoc/c_1196,soil chemical properties
https://soilwise-he.github.io/soil-health#GreenhouseGasEmissions,greenhouse gas emissions,http://aims.fao.org/aos/agrovoc/c_36198c2c,soil processes
https://soilwise-he.github.io/soil-health#EnergyTransformations,energy transformations,,ecosystem services
https://soilwise-he.github.io/soil-health#AnthropogenicErosion,anthropogenic erosion,,soil threats
https://soilwise-he.github.io/soil-health#HighNutrientStatus,high nutrient status,,soil functions
https://soilwise-he.github.io/soil-health#Forests,forests,http://aims.fao.org/aos/agrovoc/c_3062,
https://soilwise-he.github.io/soil-health#Leaf,leaf,http://opendata.inrae.fr/thesaurusINRAE/c_9020,
https://soilwise-he.github.io/soil-health#ChemicalStability,chemical stability,http://opendata.inrae.fr/thesaurusINRAE/c_13230,
https://soilwise-he.github.io/soil-health#Ploughing,ploughing,http://opendata.inrae.fr/thesaurusINRAE/c_3992,
https://soilwise-he.github.io/soil-health#EnvironmentalFactors,environmental factors,http://aims.fao.org/aos/agrovoc/c_2594,
https://soilwise-he.github.io/soil-health#SoilLoss,soil loss,http://aims.fao.org/aos/agrovoc/c_8dab65bc,
https://soilwise-he.github.io/soil-health#AromaticHydrocarbons,aromatic hydrocarbons,http://aims.fao.org/aos/agrovoc/c_28994,
